seed_id,entry_id,title,method,resolution,chain_id,chain_length,sample_index,design_score,design_score_std,global_score,global_score_std,original_design_score,original_global_score,seq_recovery,score_runs
MOUSE_GPX6_WT_chainA,7FC2,Crystal Structure of GPX6,X-RAY DIFFRACTION,,A,195,1,0.9076794838905334,0.01675101148724263,0.9076794838905334,0.01675101148724263,0.8241,0.8241,0.4359,100
MOUSE_GPX6_WT_chainA,7FC2,Crystal Structure of GPX6,X-RAY DIFFRACTION,,A,195,2,0.8540188479423523,0.01352300765666729,0.8540188479423523,0.01352300765666729,0.7924,0.7924,0.4513,100
MOUSE_GPX6_WT_chainA,2R37,Crystal structure of human glutathione peroxidase 3 (selenocysteine to glycine mutant),X-RAY DIFFRACTION,,A,191,1,0.8813733059167862,0.012998839870418931,0.8813733059167862,0.012998839870418931,0.8122,0.8122,0.466,100
MOUSE_GPX6_WT_chainA,2R37,Crystal structure of human glutathione peroxidase 3 (selenocysteine to glycine mutant),X-RAY DIFFRACTION,,A,191,2,0.8835297876596451,0.015117039036288747,0.8835297876596451,0.015117039036288747,0.8203,0.8203,0.4188,100
MOUSE_GPX6_WT_chainA,2I3Y,Crystal structure of human glutathione peroxidase 5,X-RAY DIFFRACTION,,A,188,1,0.8915846145153046,0.014296568725721326,0.8915846145153046,0.014296568725721326,0.8022,0.8022,0.4628,100
MOUSE_GPX6_WT_chainA,2I3Y,Crystal structure of human glutathione peroxidase 5,X-RAY DIFFRACTION,,A,188,2,0.8940616917610168,0.015252276739598421,0.8940616917610168,0.015252276739598421,0.8176,0.8176,0.5106,100
MOUSE_GPX6_level01_chainA,2HE3,Crystal structure of the selenocysteine to cysteine mutant of human glutathionine peroxidase 2 (GPX2),X-RAY DIFFRACTION,,A,185,1,0.8669442486763,0.016333506099599555,0.8669442486763,0.016333506099599555,0.7813,0.7813,0.5027,100
MOUSE_GPX6_level01_chainA,2HE3,Crystal structure of the selenocysteine to cysteine mutant of human glutathionine peroxidase 2 (GPX2),X-RAY DIFFRACTION,,A,185,2,0.8812879103422165,0.015552241434434864,0.8812879103422165,0.015552241434434864,0.7913,0.7913,0.4919,100
MOUSE_GPX6_level01_chainA,9JLA,De novo designed GPX4 2OBI-10,X-RAY DIFFRACTION,,A,166,1,0.836978200674057,0.018201039635746343,0.836978200674057,0.018201039635746343,0.7741,0.7741,0.5663,100
MOUSE_GPX6_level01_chainA,9JLA,De novo designed GPX4 2OBI-10,X-RAY DIFFRACTION,,A,166,2,0.7865153497457504,0.019605128582556405,0.7865153497457504,0.019605128582556405,0.7373,0.7373,0.6084,100
MOUSE_GPX6_level01_chainA,2P5Q,Crystal structure of the poplar glutathione peroxidase 5 in the reduced form,X-RAY DIFFRACTION,,A,161,1,0.8456292945146561,0.014570314625308856,0.8456292945146561,0.014570314625308856,0.7496,0.7496,0.5031,100
MOUSE_GPX6_level01_chainA,2P5Q,Crystal structure of the poplar glutathione peroxidase 5 in the reduced form,X-RAY DIFFRACTION,,A,161,2,0.8576006555557251,0.014286074883779296,0.8576006555557251,0.014286074883779296,0.7779,0.7779,0.5155,100
MOUSE_GPX6_level02_chainA,2P5R,Crystal structure of the poplar glutathione peroxidase 5 in the oxidized form,X-RAY DIFFRACTION,,A,164,1,0.8979325532913208,0.01780858277737162,0.8979325532913208,0.01780858277737162,0.8161,0.8161,0.4512,100
MOUSE_GPX6_level02_chainA,2P5R,Crystal structure of the poplar glutathione peroxidase 5 in the oxidized form,X-RAY DIFFRACTION,,A,164,2,0.9423785811662674,0.015999581663263887,0.9423785811662674,0.015999581663263887,0.8809,0.8809,0.4512,100
MOUSE_GPX6_level02_chainA,9JL8,De novo designed GPX4 2OBI-1,X-RAY DIFFRACTION,,A,166,1,0.7518910145759583,0.01763206708734352,0.7518910145759583,0.01763206708734352,0.7017,0.7017,0.6084,100
MOUSE_GPX6_level02_chainA,9JL8,De novo designed GPX4 2OBI-1,X-RAY DIFFRACTION,,A,166,2,0.8107681012153626,0.0207243053771079,0.8107681012153626,0.0207243053771079,0.728,0.728,0.6024,100
MOUSE_GPX6_level02_chainA,7L8M,Crystal structure of human GPX4-U46C mutant K48L,X-RAY DIFFRACTION,,A,165,1,0.8736527436971664,0.016135393711554424,0.8736527436971664,0.016135393711554424,0.8092,0.8092,0.4788,100
MOUSE_GPX6_level02_chainA,7L8M,Crystal structure of human GPX4-U46C mutant K48L,X-RAY DIFFRACTION,,A,165,2,0.8643104112148285,0.01845137594495378,0.8643104112148285,0.01845137594495378,0.8091,0.8091,0.503,100
MOUSE_GPX6_level03_chainA,9JL9,De novo designed GPX4 2OBI-3,X-RAY DIFFRACTION,,A,165,1,0.8373982071876526,0.01601682460259819,0.8373982071876526,0.01601682460259819,0.7734,0.7734,0.5636,100
MOUSE_GPX6_level03_chainA,9JL9,De novo designed GPX4 2OBI-3,X-RAY DIFFRACTION,,A,165,2,0.8045437473058701,0.015791783933780973,0.8045437473058701,0.015791783933780973,0.7479,0.7479,0.5939,100
MOUSE_GPX6_level03_chainA,7L8R,Crystal structure of human GPX4-U46C mutant K48A,X-RAY DIFFRACTION,,A,164,1,0.8476478093862534,0.01402886857463724,0.8476478093862534,0.01402886857463724,0.7764,0.7764,0.5061,100
